코  드,품      명,규      격,단위,재 료 비,노 무 비,경    비,합    계,번  호,비    고,START,품셈개요
5FDFB43F78C57E46637481,  (☞ 시설유형 : 매트기초 등(무근))-------, - 믹서트럭진입 조건 : 양호 - 24-1/4삭제,,,,,,산근 1,,5FDFB43F78C57E46637481,
5FDFB43F78C57E466374886FEF6A17,"콘크리트 펌프차 타설(무근, 진동기無)","100m3 미만, 슬럼프 8~12cm, 양호(매트기초 등) - 24-1/4삭제",회,"115,179","1,038,949","301,383","1,455,511",산근 2,,5FDFB43F78C57E466374886FEF6A17,공통 6-1-4.2.3
5FDFB43F78C57E4663748878548E17,"콘크리트 펌프차 타설(무근, 진동기無)","100m3 미만, 슬럼프 15cm, 양호(매트기초 등) - 24-1/4삭제",회,"111,503","1,009,225","291,936","1,412,664",산근 3,,5FDFB43F78C57E4663748878548E17,공통 6-1-4.2.3
5FDFB43F78C57E46637488430A301B,"콘크리트 펌프차 타설(무근, 진동기無)","100m3 미만, 슬럼프 18cm 이상, 양호(매트기초 등) - 24-1/4삭제",회,"104,119","947,652","272,866","1,324,637",산근 4,,5FDFB43F78C57E46637488430A301B,공통 6-1-4.2.3
5FDFB43F78C57E46637785A5D7761F,"콘크리트 펌프차 타설(무근, 진동기無)","200m3 미만, 슬럼프 8~12cm, 양호(매트기초 등) - 24-1/4삭제",회,"175,664","1,779,451","454,792","2,409,907",산근 5,,5FDFB43F78C57E46637785A5D7761F,공통 6-1-4.2.3
5FDFB43F78C57E46637785B634211D,"콘크리트 펌프차 타설(무근, 진동기無)","200m3 미만, 슬럼프 15cm, 양호(매트기초 등) - 24-1/4삭제",회,"169,967","1,725,379","440,187","2,335,533",산근 6,,5FDFB43F78C57E46637785B634211D,공통 6-1-4.2.3
5FDFB43F78C57E466377858AF9B217,"콘크리트 펌프차 타설(무근, 진동기無)","200m3 미만, 슬럼프 18cm 이상, 양호(매트기초 등) - 24-1/4삭제",회,"156,437","1,598,492","405,566","2,160,495",산근 7,,5FDFB43F78C57E466377858AF9B217,공통 6-1-4.2.3
5FDFB43F78C57E4663768B3D267B1D,"콘크리트 펌프차 타설(무근, 진동기無)","200m3 이상, 슬럼프 8~12cm, 양호(매트기초 등) - 24-1/4삭제",회,"157,220","1,804,368","400,319","2,361,907",산근 8,,5FDFB43F78C57E4663768B3D267B1D,공통 6-1-4.2.3
5FDFB43F78C57E4663768B2CC1C510,"콘크리트 펌프차 타설(무근, 진동기無)","200m3 이상, 슬럼프 15cm, 양호(매트기초 등) - 24-1/4삭제",회,"151,173","1,742,759","385,156","2,279,088",산근 9,,5FDFB43F78C57E4663768B2CC1C510,공통 6-1-4.2.3
5FDFB43F78C57E4663768B125D2B16,"콘크리트 펌프차 타설(무근, 진동기無)","200m3 이상, 슬럼프 18cm 이상, 양호(매트기초 등) - 24-1/4삭제",회,"139,751","1,623,121","356,416","2,119,288",산근 10,,5FDFB43F78C57E4663768B125D2B16,공통 6-1-4.2.3
5FDFB43F78C57E46637181,  (☞ 시설유형 : 매트기초 등(무근))-------, - 믹서트럭진입 조건 : 보통 - 24-1/4삭제,,,,,,산근 11,,5FDFB43F78C57E46637181,
5FDFB43F78C57E466371832E0EDC1C,"콘크리트 펌프차 타설(무근, 진동기無)","100m3 미만, 슬럼프 8~12cm, 보통(매트기초 등) - 24-1/4삭제",회,"132,117","1,181,114","345,173","1,658,404",산근 12,,5FDFB43F78C57E466371832E0EDC1C,공통 6-1-4.2.3
5FDFB43F78C57E46637183386B0913,"콘크리트 펌프차 타설(무근, 진동기無)","100m3 미만, 슬럼프 15cm, 보통(매트기초 등) - 24-1/4삭제",회,"127,821","1,143,767","334,001","1,605,589",산근 13,,5FDFB43F78C57E46637183386B0913,공통 6-1-4.2.3
5FDFB43F78C57E46637183032B2A11,"콘크리트 펌프차 타설(무근, 진동기無)","100m3 미만, 슬럼프 18cm 이상, 보통(매트기초 등) - 24-1/4삭제",회,"119,106","1,070,485","311,464","1,501,055",산근 14,,5FDFB43F78C57E46637183032B2A11,공통 6-1-4.2.3
5FDFB43F78C57E46637082B8EAE313,"콘크리트 펌프차 타설(무근, 진동기無)","200m3 미만, 슬럼프 8~12cm, 보통(매트기초 등) - 24-1/4삭제",회,"205,516","2,063,158","531,329","2,800,003",산근 15,,5FDFB43F78C57E46637082B8EAE313,공통 6-1-4.2.3
5FDFB43F78C57E46637082AE72401A,"콘크리트 펌프차 타설(무근, 진동기無)","200m3 미만, 슬럼프 15cm, 보통(매트기초 등) - 24-1/4삭제",회,"197,761","1,990,801","511,499","2,700,061",산근 16,,5FDFB43F78C57E46637082AE72401A,공통 6-1-4.2.3
5FDFB43F78C57E466370829C121913,"콘크리트 펌프차 타설(무근, 진동기無)","200m3 미만, 슬럼프 18cm 이상, 보통(매트기초 등) - 24-1/4삭제",회,"182,813","1,848,604","473,170","2,504,587",산근 17,,5FDFB43F78C57E466370829C121913,공통 6-1-4.2.3
5FDFB43F78C57E4663738FF2C58E1C,"콘크리트 펌프차 타설(무근, 진동기無)","200m3 이상, 슬럼프 8~12cm, 보통(매트기초 등) - 24-1/4삭제",회,"183,883","2,084,135","467,422","2,735,440",산근 18,,5FDFB43F78C57E4663738FF2C58E1C,공통 6-1-4.2.3
5FDFB43F78C57E4663738FE054F21A,"콘크리트 펌프차 타설(무근, 진동기無)","200m3 이상, 슬럼프 15cm, 보통(매트기초 등) - 24-1/4삭제",회,"176,651","2,004,116","449,099","2,629,866",산근 19,,5FDFB43F78C57E4663738FE054F21A,공통 6-1-4.2.3
5FDFB43F78C57E4663738FD7EFCC13,"콘크리트 펌프차 타설(무근, 진동기無)","200m3 이상, 슬럼프 18cm 이상, 보통(매트기초 등) - 24-1/4삭제",회,"162,922","1,868,968","414,813","2,446,703",산근 20,,5FDFB43F78C57E4663738FD7EFCC13,공통 6-1-4.2.3
